NOMBRE,NOM_MUN,ENTIDAD,Total UP agropecuaria activas,UP Agricolas,UP Argri Riego ( R ),P UP Riego,UP Riego Gravedad (RG),UP RG Canales revestidos,UP RG Canales de Tierra,UP RG Tuber�a De Compuerta,UP R Por Microaspersi�n,UP R Por Aspersi�n,UP R Por Aspersi�n Pivote Central,UP R Por Aspersi�n Avance Frontal,UP R Por Aspersi�n Ca��n,UP R Por Aspersores,UP R Sistema De Goteo,UP R Mediante Alg�n Otro Sistema
30 VER,Xoxocotla,  Xoxocotla,837,778,13,100,30.76923077,0,100,0,15.38461538,23.07692308,0,0,0,100,0,53.84615385
30 VER,Yanga,  Yanga,2097,2088,686,100,98.97959184,11.92930781,77.46686303,71.72312224,0.29154519,1.457725948,0,0,30,70,0.145772595,0
30 VER,Yecuatla,  Yecuatla,1253,1128,2,100,50,0,100,0,50,0,0,0,0,0,50,0
30 VER,Zacualpan,  Zacualpan,1090,1054,13,100,30.76923077,25,75,75,38.46153846,7.692307692,100,100,0,0,69.23076923,0
30 VER,Zaragoza,  Zaragoza,264,262,1,100,100,0,100,0,0,100,0,0,0,100,0,0
30 VER,Zentla,  Zentla,1828,1813,26,57.69230769,20,0,33.33333333,66.66666667,26.66666667,13.33333333,0,0,50,50,60,0
30 VER,Zongolica,  Zongolica,9064,9036,3,100,66.66666667,0,100,0,0,0,0,0,0,0,0,33.33333333
30 VER,Zontecomatlán de López y Fuentes,  Zontecomatlán De López Y Fuentes,2278,2192,2,100,50,0,0,100,0,0,0,0,0,0,0,50
30 VER,Zozocolco de Hidalgo,  Zozocolco De Hidalgo,1443,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 VER,Agua Dulce,  Agua Dulce,793,607,2,100,100,0,50,50,0,0,0,0,0,0,50,0
30 VER,El Higo,  El Higo,1964,1832,1278,96.79186228,48.01940178,2.356902357,38.88888889,95.79124579,29.42603072,65.64268391,0.985221675,0.492610837,82.01970443,61.57635468,0.404203719,0.080840744
30 VER,Nanchital de Lázaro Cárdenas del Río,  Nanchital De Lázaro Cárdenas Del Río,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 VER,Tres Valles,  Tres Valles,4616,4445,29,96.55172414,14.28571429,25,50,25,28.57142857,78.57142857,9.090909091,0,31.81818182,68.18181818,7.142857143,0
30 VER,Carlos A. Carrillo,  Carlos A. Carrillo,1452,1397,1,100,100,0,100,0,0,0,0,0,0,0,0,0
30 VER,Tatahuicapan de Juárez,  Tatahuicapan De Juárez,1599,1518,1,100,0,0,0,0,0,100,0,0,0,100,0,0
30 VER,Uxpanapa,  Uxpanapa,5310,4124,6,100,0,0,0,0,0,33.33333333,50,0,0,100,0,0
30 VER,San Rafael,  San Rafael,2435,2366,23,100,21.73913043,20,80,40,34.7826087,43.47826087,10,0,20,70,13.04347826,26.08695652
30 VER,Santiago Sochiapan,  Santiago Sochiapan,2065,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
